reward_type,timestep,success_rate,num_eval_episodes,n_steps,learning_rate,batch_size,gamma,ent_coef,clip_range,n_epochs,model_path,wall_seconds
basic,100000,0.04,100,1024,0.0003,64,0.99,0.0,0.1,10,best_config_training/basic_steps100k.zip,109.88
basic,200000,0.07,100,1024,0.0003,64,0.99,0.0,0.1,10,best_config_training/basic_steps200k.zip,221.26
basic,300000,0.17,100,1024,0.0003,64,0.99,0.0,0.1,10,best_config_training/basic_steps300k.zip,330.03
basic,500000,0.02,100,1024,0.0003,64,0.99,0.0,0.1,10,best_config_training/basic_steps500k.zip,533.34
basic,750000,0.04,100,1024,0.0003,64,0.99,0.0,0.1,10,best_config_training/basic_steps750k.zip,787.27
basic,1000000,0.12,100,1024,0.0003,64,0.99,0.0,0.1,10,best_config_training/basic_steps1000k.zip,1044.0
basic,1500000,0.21,100,1024,0.0003,64,0.99,0.0,0.1,10,best_config_training/basic_steps1500k.zip,1536.89
advanced,100000,0.0,100,1024,0.0003,64,0.99,0.0,0.1,10,best_config_training/advanced_steps100k.zip,103.91
advanced,200000,0.0,100,1024,0.0003,64,0.99,0.0,0.1,10,best_config_training/advanced_steps200k.zip,208.32
advanced,300000,0.1,100,1024,0.0003,64,0.99,0.0,0.1,10,best_config_training/advanced_steps300k.zip,312.27
advanced,500000,0.15,100,1024,0.0003,64,0.99,0.0,0.1,10,best_config_training/advanced_steps500k.zip,511.39
advanced,750000,0.08,100,1024,0.0003,64,0.99,0.0,0.1,10,best_config_training/advanced_steps750k.zip,760.83
advanced,1000000,0.15,100,1024,0.0003,64,0.99,0.0,0.1,10,best_config_training/advanced_steps1000k.zip,1010.95
advanced,1500000,0.18,100,1024,0.0003,64,0.99,0.0,0.1,10,best_config_training/advanced_steps1500k.zip,1504.29
