#{"t_start": 1775185253.6992292, "env_id": "OpenTheChests-v2"}
r,l,t
-70.0,51,0.23514
-137.0,90,0.380993
-71.0,52,0.465515
-116.0,84,0.60145
-381.0,240,0.998651
-74.0,49,1.078681
-509.0,331,1.61281
-188.0,128,1.819809
-216.0,138,2.04309
-136.0,103,2.209353
-366.0,245,2.605086
-116.0,86,2.744685
-159.0,103,2.914445
-174.0,119,3.10956
-118.0,82,3.242184
-136.0,83,3.37645
-117.0,83,4.648307
-143.0,100,4.811574
-136.0,99,4.973013
-134.0,108,5.151534
-151.0,118,5.343257
-110.0,87,5.484897
-116.0,85,5.624644
-297.0,221,5.983337
-220.0,153,6.231555
-230.0,164,6.497283
-97.0,72,6.61382
-227.0,172,6.892449
-115.0,87,7.033438
-65.0,49,7.113522
-86.0,71,7.229457
-80.0,68,7.340447
-109.0,85,7.479376
-92.0,65,7.584639
-159.0,120,7.779454
-143.0,105,7.95033
-159.0,135,9.174339
-175.0,135,9.394362
-62.0,51,9.478154
-121.0,87,9.620017
-122.0,88,9.763829
-141.0,117,9.954323
-181.0,143,10.186197
-112.0,85,10.323918
-46.0,48,10.402098
-197.0,139,10.626668
-184.0,135,10.844659
-316.0,242,11.239289
-336.0,259,11.656274
-157.0,117,11.846475
-85.0,71,11.962241
-55.0,50,12.044307
-192.0,160,13.29975
-187.0,154,13.550433
-243.0,188,13.85555
-109.0,104,14.024596
-79.0,67,14.133401
-255.0,212,14.475127
-197.0,170,14.748991
-189.0,159,15.00572
-102.0,82,15.138599
-224.0,170,15.413069
-57.0,52,15.497786
-132.0,119,15.690205
-251.0,187,15.993992
-228.0,192,16.306153
-246.0,210,17.643593
-176.0,153,17.892706
-191.0,167,18.163667
-116.0,99,18.324586
-62.0,69,18.436612
-110.0,98,18.595559
-254.0,217,18.946264
-84.0,71,19.062074
-239.0,210,19.401096
-139.0,122,19.598943
-118.0,120,19.794492
-241.0,207,20.131491
-178.0,166,20.401742
-227.0,203,20.732191
-108.0,101,20.897223
-134.0,139,22.119179
-148.0,151,22.363428
-64.0,67,22.472158
-225.0,215,22.818434
-139.0,147,23.055239
-247.0,214,23.400084
-114.0,105,23.569724
-113.0,121,23.765722
-191.0,169,24.040459
-60.0,67,24.149836
-160.0,152,24.396906
-272.0,250,24.804293
-196.0,181,25.098428
-116.0,103,26.255682
-305.0,264,26.684234
-46.0,50,26.765812
-244.0,222,27.123701
-280.0,230,27.498153
-267.0,230,27.871087
-129.0,100,28.034505
-76.0,67,28.144335
-85.0,85,28.283342
-167.0,152,28.531602
-126.0,106,28.704303
-125.0,111,28.885209
-173.0,143,29.1181
-130.0,131,29.331557
-133.0,130,29.543102
-89.0,87,30.67026
-56.0,50,30.751952
-348.0,297,31.230528
-252.0,222,31.588747
-90.0,87,31.730278
-315.0,274,32.175927
-366.0,304,32.669476
-169.0,149,32.911716
-75.0,83,33.047224
