#{"t_start": 1775187436.8245802, "env_id": "OpenTheChests-v2"}
r,l,t
-119.0,86,0.445268
-205.0,143,0.604459
-262.0,174,0.796768
-152.0,101,0.908785
-190.0,123,1.044693
-362.0,232,1.300224
-135.0,84,1.393692
-122.0,89,1.49241
-183.0,123,1.628367
-185.0,136,1.778537
-333.0,218,2.018823
-103.0,71,2.098039
-72.0,51,2.15528
-176.0,125,2.29438
-293.0,196,2.512287
-156.0,105,10.205035
-160.0,115,10.333556
-92.0,69,10.411124
-126.0,86,10.507222
-248.0,171,10.697934
-83.0,50,10.754552
-144.0,102,10.868761
-85.0,68,10.945507
-153.0,105,11.063214
-180.0,138,11.217682
-164.0,117,11.348799
-171.0,120,11.483285
-175.0,119,11.616697
-77.0,54,11.677775
-87.0,73,11.75973
-87.0,53,11.819623
-150.0,114,11.947165
-159.0,120,12.081476
-62.0,49,12.136979
-175.0,132,12.284885
-174.0,151,12.453025
-128.0,104,21.340678
-98.0,67,21.415251
-200.0,152,21.583793
-209.0,155,21.755449
-207.0,171,21.944858
-111.0,104,22.061098
-134.0,100,22.173244
-137.0,101,22.286458
-126.0,99,22.397552
-157.0,122,22.533999
-81.0,67,22.609583
-189.0,130,22.75525
-116.0,86,22.851952
-107.0,84,22.94629
-87.0,66,23.020649
-119.0,100,23.132629
-66.0,50,23.189273
-190.0,153,23.360432
-141.0,117,23.491598
-171.0,153,32.15466
-146.0,134,32.303932
-43.0,50,32.360204
-155.0,120,32.493263
-208.0,164,32.673994
-144.0,117,32.80308
-293.0,259,33.087187
-190.0,158,33.260848
-193.0,169,33.446734
-107.0,88,33.546252
-188.0,166,33.741812
-94.0,84,33.837209
-72.0,66,33.912516
-142.0,121,34.04812
-57.0,52,34.106713
-166.0,136,34.258025
-94.0,85,41.445741
-111.0,84,41.539198
-107.0,102,41.652583
-68.0,66,41.726265
-125.0,104,41.84228
-157.0,148,42.007678
-142.0,116,42.137552
-287.0,266,42.433584
-214.0,194,42.649645
-117.0,103,42.764977
-80.0,68,42.841452
-204.0,170,43.030936
-119.0,90,43.131771
-67.0,54,43.192716
-128.0,102,43.306942
-83.0,69,43.384602
-266.0,232,43.64329
-58.0,52,43.702222
-134.0,124,51.333294
-223.0,209,51.565958
-168.0,141,51.723225
-115.0,105,51.840619
-71.0,70,51.91929
-73.0,73,52.001161
-47.0,48,52.055316
-213.0,178,52.252215
-122.0,120,52.385471
-112.0,98,52.49417
-53.0,53,52.553631
-125.0,118,52.683923
-159.0,140,52.838722
-180.0,150,53.004692
-69.0,65,53.077322
-163.0,148,53.24091
-113.0,91,53.341861
-139.0,152,61.341025
-112.0,86,61.436274
-82.0,84,61.529791
-113.0,140,61.685373
-112.0,107,61.804948
-120.0,137,61.957689
-120.0,134,62.107058
-63.0,65,62.180126
-105.0,118,62.311896
-55.0,67,62.387213
-74.0,82,62.479066
-395.0,424,62.94914
-127.0,122,63.085287
-49.0,54,63.146123
-257.0,270,63.446308
-54.0,66,63.520459
-89.0,83,70.947325
-182.0,194,71.162711
-203.0,251,71.441225
-90.0,98,71.550647
-84.0,103,71.665663
-159.0,171,71.855471
-79.0,83,71.94805
-118.0,122,72.082921
-52.0,50,72.138898
-47.0,71,72.217863
-131.0,154,72.387679
-92.0,105,72.503831
-64.0,82,72.594582
-65.0,69,72.671451
-158.0,184,72.87414
-155.0,171,73.062817
-94.0,106,73.180328
-59.0,69,80.66089
-82.0,100,80.771467
-159.0,180,80.970013
-40.0,49,81.024852
-58.0,68,81.100309
-100.0,148,81.263978
-91.0,109,81.384645
-61.0,65,81.457162
-59.0,84,81.550898
-111.0,138,81.704436
-77.0,88,81.802913
-122.0,126,81.943445
-77.0,105,82.060695
-44.0,66,82.134778
-161.0,221,82.380168
-104.0,113,82.506184
-63.0,82,82.597919
-133.0,168,82.784917
-118.0,136,91.225099
-89.0,107,91.344654
-106.0,163,91.526084
-141.0,211,91.759694
-74.0,136,91.9103
-41.0,52,91.968426
-78.0,115,92.095792
-48.0,72,92.175693
-74.0,120,92.308086
-58.0,70,92.385691
-75.0,116,92.513785
-72.0,100,92.625607
-65.0,91,92.727345
-51.0,68,92.803576
-69.0,86,92.899599
-78.0,146,93.062516
-87.0,114,93.189708
-40.0,65,93.262856
-70.0,101,93.376304
-45.0,66,102.264857
-71.0,122,102.401123
-141.0,255,102.684332
-35.0,69,102.761659
-133.0,222,103.008388
-112.0,167,103.194091
-23.0,53,103.253792
-90.0,138,103.407383
-102.0,213,103.643736
-43.0,70,103.722072
-90.0,173,103.930688
-68.0,128,104.080759
-102.0,155,104.252134
-33.0,64,104.323452
-108.0,164,104.504403
-49.0,102,111.73254
-28.0,67,111.807252
-120.0,282,112.116977
-37.0,68,112.19258
-40.0,98,112.301205
-49.0,132,112.447011
-43.0,103,112.561348
-139.0,277,112.866307
-82.0,195,113.081459
-57.0,101,113.193949
-42.0,70,113.272412
-53.0,116,113.401651
-49.0,102,113.515503
-56.0,118,113.647439
-27.0,67,113.72296
-44.0,71,113.802865
-109.0,230,121.457578
-42.0,131,121.603938
-24.0,80,121.694108
-64.0,162,121.874307
-90.0,216,122.113973
-26.0,87,122.210728
-21.0,81,122.301076
-91.0,245,122.571418
-48.0,150,122.738286
-26.0,66,122.812513
-50.0,145,122.973717
-46.0,120,123.107576
-80.0,195,123.32445
-60.0,164,123.50706
-57.0,150,130.516345
-31.0,101,130.628268
-18.0,67,130.703205
-39.0,132,130.849014
-119.0,336,131.219385
-41.0,136,131.370837
